Kunde;Lieferdatum;Jahr;Eingang;Ausgang;Total an Lager ESG;Preis pro Büchlein;Betrag in SFr.;Lieferungsart;Rechnungsart
Falken-Drogerie;2016-08-25;2016;;10;;;823.0;gebracht;Rechnung
Metzgerei Signer;2016-08-25;2016;;3;;;246.89999999999998;gebracht;Rechnung
Löwen-Apotheke;2016-09-06;2016;;3;;;246.89999999999998;gebracht;Rechnung
Langgass-Drogerie;2016-09-08;2016;;10;;;823.0;gebracht;Rechnung
Kiosk Silberturm;2016-09-16;2016;;2;;;164.6;gebracht;Rechnung
Apotheke an der Langgasse;2016-09-20;2016;;2;;;164.6;abgeholt;Rechnung
Kiosk Neudorf;2016-09-21;2016;;10;;;823.0;gebracht;Rechnung
Kloster-Drogerie;2016-09-23;2016;;5;;;411.5;gebracht;Rechnung
St.Fiden-Apotheke;2016-10-04;2016;;10;;;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2016-10-04;2016;;30;;;2469.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2016-10-11;2016;;2;;;164.6;gebracht;Rechnung
Maxi Markt;2016-11-02;2016;;5;;;411.5;gebracht;Rechnung
Alpstein Drogerie;2016-11-04;2016;;30;;;2469.0;gebracht;Rechnung
Apotheke an der Langgasse;2016-11-23;2016;;2;;;164.6;gebracht;Rechnung
Falken-Drogerie;2016-11-30;2016;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2016-12-12;2016;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2016-12-28;2016;;2;;;164.6;abgeholt;Rechnung
Kiosk Silberturm;2016-12-29;2016;;5;;;411.5;gebracht;Rechnung
Kiosk Migros Bach;2016-12-29;2016;;5;;;411.5;gebracht;Rechnung
Löwen-Apotheke;2017-01-10;2017;;2;;;164.6;gebracht;Rechnung
Bäckerei Schwyter Schoren;2017-01-10;2017;;2;;;164.6;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2017-02-07;2017;;20;;;1646.0;gebracht;Rechnung
St.Fiden-Apotheke;2017-02-10;2017;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2017-02-14;2017;;5;;;411.5;gebracht;Rechnung
Kiosk Neudorf;2017-02-15;2017;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2017-02-27;2017;;2;;;164.6;gebracht;Rechnung
Falken-Drogerie;2017-02-28;2017;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2017-03-08;2017;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2017-04-03;2017;;2;;;164.6;abgeholt;Rechnung
Falken-Drogerie;2017-04-13;2017;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2017-04-21;2017;;5;;;411.5;gebracht;Rechnung
Bäckerei Gschwend;2017-04-25;2017;;3;;;246.89999999999998;gebracht;Rechnung
Spar Markt Wolfganghof;2017-04-26;2017;;10;;;823.0;gebracht;Rechnung
St.Jakob-Apotheke;2017-04-28;2017;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2017-05-02;2017;;2;;;164.6;abgeholt;Rechnung
Apotheke an der Langgasse;2017-05-30;2017;;2;;;164.6;abgeholt;Rechnung
Bäckerei Schwyter Schoren;2017-06-06;2017;;4;;;329.2;gebracht;Rechnung
Apotheke an der Langgasse;2017-06-08;2017;;2;;;164.6;abgeholt;Rechnung
Bäckerei Schwyter Riethüsli;2017-06-15;2017;;3;;;246.89999999999998;gebracht;Rechnung
Langgass-Drogerie;2017-06-16;2017;;10;;;823.0;gebracht;Rechnung
St.Jakob-Apotheke;2017-06-27;2017;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2017-07-10;2017;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2017-07-19;2017;;4;;;329.2;gebracht;Rechnung
Kiosk Silberturm;2017-07-24;2017;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2017-08-10;2017;;3;;;246.89999999999998;abgeholt;Rechnung
Sanitär Wirth AG (Endverbraucher);2017-08-14;2017;;10;;;823.0;gebracht;Rechnung
Müller, lebe deinen Genuss;2017-08-15;2017;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2017-08-23;2017;;2;;;164.6;abgeholt;Rechnung
Bäckerei Schwyter Schoren;2017-09-05;2017;;4;;;329.2;gebracht;Rechnung
Kiosk Neudorf;2017-09-14;2017;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2017-09-19;2017;;20;;;1646.0;abgeholt;Rechnung
Spar Markt Wolfganghof;2017-09-29;2017;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2017-10-09;2017;;3;;;246.89999999999998;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2017-10-25;2017;;20;;;1646.0;gebracht;Rechnung
Denner Satellit;2017-11-02;2017;;5;;;411.5;gebracht;Rechnung
Langgass-Drogerie;2017-11-03;2017;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2017-11-09;2017;;5;;;411.5;gebracht;Rechnung
Amavita Apotheke Poststrasse;2017-11-15;2017;;6;;;493.79999999999995;abgeholt;Rechnung
Kiosk Migros Bach;2017-11-21;2017;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2017-11-22;2017;;2;;;164.6;abgeholt;Rechnung
Müller, lebe deinen Genuss;2017-12-12;2017;;6;;;493.79999999999995;gebracht;Rechnung
Apotheke an der Langgasse;2017-12-19;2017;;3;;;246.89999999999998;gebracht;Rechnung
Maxi Markt;2018-01-08;2018;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2018-01-11;2018;;30;;;2469.0;abgeholt;Rechnung
St.Jakob-Apotheke;2018-01-15;2018;;10;;;823.0;gebracht;Rechnung
Drogerie Lachen;2018-01-17;2018;;20;;;1646.0;gebracht;Rechnung
Langgass-Drogerie;2018-01-26;2018;;10;;;823.0;gebracht;Rechnung
Kloster-Drogerie;2018-01-26;2018;;5;;;411.5;gebracht;Rechnung
Denner Satellit;2018-01-30;2018;;5;;;411.5;gebracht;Rechnung
Bäckerei Frei;2018-02-14;2018;;4;;;329.2;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2018-02-20;2018;;30;;;2469.0;abgeholt;Rechnung
Bäckerei Schwyter Schoren;2018-02-28;2018;;4;;;329.2;gebracht;Rechnung
Kiosk Neudorf;2018-03-08;2018;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2018-03-14;2018;;3;;;246.89999999999998;gebracht;Rechnung
Apotheke an der Langgasse;2018-04-04;2018;;2;;;164.6;abgeholt;Rechnung
Maxi Markt;2018-04-06;2018;;5;;;411.5;gebracht;Rechnung
Bäckerei Wernli;2018-04-06;2018;;2;;;164.6;gebracht;Rechnung
Kiosk Migros Bach;2018-04-09;2018;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2018-04-11;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Apotheke an der Langgasse;2018-05-02;2018;;3;;;246.89999999999998;gebracht;Rechnung
Metzgerei Signer;2018-05-08;2018;;3;;;246.89999999999998;gebracht;Rechnung
St.Fiden-Apotheke;2018-05-28;2018;;20;;;1646.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2018-05-30;2018;;2;;;164.6;gebracht;Rechnung
Denner Satellit;2018-06-07;2018;;5;;;411.5;gebracht;Rechnung
Gallus Apotheke;2018-06-07;2018;;2;;;164.6;abgeholt;Rechnung
Maxi Markt;2018-06-12;2018;;5;;;411.5;gebracht;Rechnung
St.Jakob-Apotheke;2018-07-03;2018;;10;;;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2018-07-06;2018;;6;;;493.79999999999995;abgeholt;Rechnung
Kiosk Migros Bach;2018-07-10;2018;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2018-07-30;2018;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2018-08-07;2018;;2;;;164.6;gebracht;Rechnung
Falken-Drogerie;2018-08-08;2018;;10;;;823.0;gebracht;Rechnung
Gallus Apotheke;2018-08-09;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Löwen-Apotheke;2018-08-17;2018;;3;;;246.89999999999998;gebracht;Rechnung
Maxi Markt;2018-08-21;2018;;5;;;411.5;gebracht;Rechnung
Kiosk Migros Bach;2018-08-21;2018;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2018-08-28;2018;;5;;;411.5;gebracht;Rechnung
Langgass-Drogerie;2018-08-30;2018;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2018-08-31;2018;;10;;;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2018-09-04;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Apotheke an der Langgasse;2018-09-18;2018;;3;;;246.89999999999998;abgeholt;Rechnung
Langgass-Drogerie;2018-10-04;2018;;10;;;823.0;gebracht;Rechnung
CareLand Apotheke;2018-10-04;2018;;3;;;246.89999999999998;gebracht;Rechnung
Drogerie Lachen;2018-10-08;2018;;20;;;1646.0;abgeholt;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2018-10-09;2018;;20;;;1646.0;gebracht;Rechnung
Drogerie Lachen;2018-11-19;2018;;20;;;1646.0;gebracht;Rechnung
Lebensmittel Hagenbuch 26;2018-11-21;2018;;5;;;411.5;gebracht;Rechnung
CareLand Apotheke;2018-12-14;2018;;5;;;411.5;gebracht;Rechnung
Langgass-Drogerie;2018-12-21;2018;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2018-12-28;2018;;5;;;411.5;gebracht;Rechnung
Drogerie Lachen;2019-01-15;2019;;20;;;1646.0;gebracht;Rechnung
Löwen-Apotheke;2019-01-25;2019;;2;;;164.6;gebracht;Rechnung
Bäckerei Gschwend;2019-02-06;2019;;3;;;246.89999999999998;gebracht;Rechnung
Drogerie Lachen;2019-03-01;2019;;20;;;1646.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2019-03-15;2019;;4;;;329.2;gebracht;Rechnung
Langgass-Drogerie;2019-03-21;2019;;10;;;823.0;gebracht;Rechnung
Falken-Drogerie;2019-03-27;2019;;10;;;823.0;gebracht;Rechnung
Maxi Markt;2019-03-29;2019;;5;;;411.5;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2019-04-15;2019;;7;;;576.1;gebracht;Rechnung
Apotheke an der Langgasse;2019-04-16;2019;;4;;;329.2;abgeholt;Rechnung
Falken-Drogerie;2019-04-26;2019;;10;;;823.0;gebracht;Rechnung
Kiosk Neudorf;2019-04-26;2019;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-05-03;2019;;30;;;2469.0;gebracht;Rechnung
Falken-Drogerie;2019-06-07;2019;;10;;;823.0;gebracht;Rechnung
Kiosk Neudorf;2019-06-14;2019;;10;;;823.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2019-06-26;2019;;6;;;493.79999999999995;gebracht;Rechnung
Bruggen Apotheke;2019-06-28;2019;;40;;;3292.0;gebracht;Rechnung
Falken-Drogerie;2019-07-24;2019;;10;;;823.0;gebracht;Rechnung
Kloster-Drogerie;2019-08-15;2019;;5;;;411.5;gebracht;Rechnung
St.Fiden-Apotheke;2019-08-15;2019;;20;;;1646.0;gebracht;Rechnung
Stern-Apotheke;2019-08-19;2019;;10;;;823.0;gebracht;Rechnung
Bäckerei Gschwend;2019-08-27;2019;;3;;;246.89999999999998;gebracht;Rechnung
Bäckerei Gschwend;2019-09-04;2019;;4;;;329.2;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2019-09-11;2019;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-09-18;2019;;30;;;2469.0;gebracht;Rechnung
St.Jakob-Apotheke;2019-09-25;2019;;10;;;823.0;gebracht;Rechnung
Alpstein Drogerie;2019-10-09;2019;;20;;;1646.0;gebracht;Rechnung
Löwen-Apotheke;2019-10-11;2019;;3;;;246.89999999999998;gebracht;Rechnung
Falken-Drogerie;2019-10-21;2019;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2019-10-23;2019;;10;;;823.0;gebracht;Rechnung
Kloster-Drogerie;2019-10-28;2019;;5;;;411.5;gebracht;Rechnung
Agrola Shop Riethüsli;2019-11-11;2019;;5;;;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2019-12-13;2019;;30;;;2469.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2020-01-15;2020;;2;1041;82.3;164.6;gebracht;Rechnung
Stern-Apotheke;2020-02-14;2020;;10;904;82.3;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2020-03-03;2020;;2;748;82.3;164.6;gebracht;Rechnung
Kiosk Neudorf;2020-03-10;2020;;10;728;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2020-03-24;2020;;2;649;82.3;164.6;gebracht;Rechnung
Kiosk Migros Bach;2020-03-27;2020;;10;636;82.3;823.0;gebracht;Rechnung
Maxi Markt;2020-04-02;2020;;5;631;82.3;411.5;gebracht;Rechnung
CareLand Apotheke;2020-04-16;2020;;5;601;82.3;411.5;gebracht;Rechnung
Kiosk Neudorf;2020-04-16;2020;;10;561;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2020-05-08;2020;;10;395;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2020-05-06;2020;;3;377;82.3;246.89999999999998;abgeholt;Rechnung
Bäckerei Frei;2020-05-19;2020;;4;332;82.3;329.2;gebracht;Rechnung
Kiosk Langgasse 20;2020-05-22;2020;;2;330;82.3;164.6;gebracht;Rechnung
Spar Markt Wolfganghof;2020-06-02;2020;;10;293;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2020-06-03;2020;;2;291;82.3;164.6;abgeholt;Rechnung
Coop Vitality Apotheke Shopping Arena;2020-06-03;2020;;10;281;82.3;823.0;gebracht;Rechnung
Eingang Marken an Lager ESG;2020-06-04;2020;900;;1181;82.3;0.0;;
Velo Stern;2020-06-04;2020;;3;1128;82.3;246.89999999999998;gebracht;Rechnung
St.Fiden-Apotheke;2020-06-09;2020;;20;1103;82.3;1646.0;gebracht;Rechnung
Gallus Apotheke;2020-06-25;2020;;2;981;82.3;164.6;gebracht;Rechnung
Drogerie Lachen;2020-06-30;2020;;20;898;82.3;1646.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2020-07-17;2020;;4;750;82.3;329.2;gebracht;Rechnung
Stern-Apotheke;2020-07-22;2020;;10;740;82.3;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2020-07-28;2020;;7;642;82.3;576.1;gebracht;Rechnung
Müller, lebe deinen Genuss;2020-08-04;2020;;10;575;82.3;823.0;gebracht;Rechnung
Maxi Markt;2020-08-12;2020;;5;552;82.3;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2020-08-25;2020;;3;529;82.3;246.89999999999998;abgeholt;Rechnung
Kiosk Neudorf;2020-08-27;2020;;10;495;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2020-09-03;2020;;3;447;82.3;246.89999999999998;abgeholt;Rechnung
Kiosk Langgasse 20;2020-09-08;2020;;2;410;82.3;164.6;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2020-09-30;2020;;10;254;82.3;823.0;gebracht;Rechnung
Drogerie Lachen;2020-10-13;2020;;20;215;82.3;1646.0;gebracht;Rechnung
CareLand Apotheke;2020-10-19;2020;;5;674;82.3;411.5;gebracht;Rechnung
Amavita Apotheke Poststrasse;2020-10-27;2020;;5;617;82.3;411.5;abgeholt;Rechnung
Kundencenter sgsw;2020-11-03;2020;;20;582;82.3;1646.0;gebracht;Rechnung
Kiosk Migros Bach;2020-10-30;2020;;10;564;82.3;823.0;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2020-11-19;2020;;10;483;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2020-11-30;2020;;20;393;82.3;1646.0;gebracht;Rechnung
Apotheke an der Langgasse;2020-12-09;2020;;3;390;82.3;246.89999999999998;abgeholt;Rechnung
Kiosk Neudorf;2020-12-09;2020;;10;380;82.3;823.0;gebracht;Rechnung
Kiosk Migros Bach;2020-12-17;2020;;10;300;82.3;823.0;gebracht;Rechnung
Gallus Apotheke;2020-12-18;2020;;2;293;82.3;164.6;gebracht;Rechnung
Maxi Markt;2021-01-08;2021;;5;184;82.3;411.5;gebracht;Rechnung
VBSG-Verkaufsstelle;2021-01-18;2021;;50;104;82.3;4115.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2021-01-27;2021;;30;800;82.3;2469.0;gebracht;Rechnung
Bäckerei Gschwend in Winkeln;2021-02-09;2021;;4;746;82.3;329.2;gebracht;Rechnung
Löwen-Apotheke;2021-02-15;2021;;3;728;82.3;246.89999999999998;gebracht;Rechnung
LAVEBA Shop Riethüsli;2021-02-16;2021;;6;722;82.3;493.79999999999995;gebracht;Rechnung
Kiosk Neudorf;2021-02-18;2021;;10;699;82.3;823.0;gebracht;Rechnung
Stern-Apotheke;2021-03-05;2021;;4;623;82.3;329.2;gebracht;Rechnung
Kiosk Langgasse 20;2021-03-10;2021;;2;575;82.3;164.6;gebracht;Rechnung
Kiosk Migros Bach;2021-03-16;2021;;10;554;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2021-03-25;2021;;3;452;82.3;246.89999999999998;abgeholt;Rechnung
Bäckerei Schwyter Schoren;2021-04-06;2021;;3;425;82.3;246.89999999999998;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2021-04-06;2021;;5;420;82.3;411.5;gebracht;Rechnung
Kiosk Migros Bach;2021-04-08;2021;;10;410;82.3;823.0;gebracht;Rechnung
Lachen Drogerie;2021-04-23;2021;;20;322;82.3;1646.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2021-04-23;2021;;6;306;82.3;493.79999999999995;gebracht;Rechnung
Spar Markt Wolfganghof;2021-04-28;2021;;10;296;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2021-04-29;2021;;50;223;82.3;4115.0;gebracht;Rechnung
Löwen-Apotheke;2021-04-30;2021;;4;219;82.3;329.2;gebracht;Rechnung
Apotheke an der Langgasse;2021-05-05;2021;;3;949;82.3;246.89999999999998;abgeholt;Rechnung
LAVEBA Shop Riethüsli;2021-05-05;2021;;6;943;82.3;493.79999999999995;gebracht;Rechnung
Kiosk Silberturm;2021-06-03;2021;;10;736;82.3;823.0;gebracht;Rechnung
Maxi Markt;2021-06-16;2021;;5;716;82.3;411.5;gebracht;Rechnung
Falken-Drogerie;2021-06-17;2021;;10;706;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2021-06-17;2021;;3;693;82.3;246.89999999999998;abgeholt;Rechnung
Spar Markt Wolfganghof;2021-06-22;2021;;10;668;82.3;823.0;gebracht;Rechnung
Löwen-Apotheke;2021-06-24;2021;;4;656;82.3;329.2;gebracht;Rechnung
Lachen Drogerie;2021-07-01;2021;;20;614;82.3;1646.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2021-07-26;2021;;3;429;82.3;246.89999999999998;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2021-07-26;2021;;10;419;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2021-07-28;2021;;3;416;82.3;246.89999999999998;abgeholt;Rechnung
Amavita Apotheke Gallusmarkt;2021-08-13;2021;;30;311;82.3;2469.0;gebracht;Rechnung
Lachen Drogerie;2021-08-30;2021;;20;937;82.3;1646.0;abgeholt;Rechnung
Gallus Apotheke;2021-08-30;2021;;3;934;82.3;246.89999999999998;gebracht;Rechnung
Kiosk Silberturm;2021-09-09;2021;;10;903;82.3;823.0;gebracht;Rechnung
Kiosk Neudorf;2021-10-08;2021;;10;716;82.3;823.0;gebracht;Rechnung
Apotheke an der Langgasse;2021-10-12;2021;;5;676;82.3;411.5;gebracht;Rechnung
Falken-Drogerie;2021-10-15;2021;;10;666;82.3;823.0;gebracht;Rechnung
Maxi Markt;2021-10-21;2021;;5;657;82.3;411.5;gebracht;Rechnung
Amavita Apotheke Poststrasse;2021-10-26;2021;;3;644;82.3;246.89999999999998;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2021-11-08;2021;;5;564;82.3;411.5;gebracht;Rechnung
Gallus Apotheke;2021-11-26;2021;;2;499;82.3;164.6;gebracht;Rechnung
St.Jakob-Apotheke;2021-12-06;2021;;10;445;82.3;823.0;gebracht;Rechnung
Stern-Apotheke;2021-12-08;2021;;5;425;82.3;411.5;gebracht;Rechnung
Kiosk Migros Bach;2021-12-23;2021;;10;335;82.3;823.0;gebracht;Rechnung
Maxi Markt;2022-01-11;2022;;5;1080;82.3;411.5;gebracht;Rechnung
Sanitär Wirth AG (Endverbraucher);2022-01-24;2022;;10;960;86.0;860.0;gebracht;Rechnung
Kiosk Migros Bach;2022-01-26;2022;;10;935;82.3;823.0;gebracht;Rechnung
Kiosk Neudorf;2022-02-10;2022;;10;842;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2022-02-11;2022;;10;832;82.3;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2022-02-16;2022;;50;752;82.3;4115.0;gebracht;Rechnung
Kloster-Drogerie;2022-03-03;2022;;5;687;82.3;411.5;gebracht;Rechnung
St.Jakob-Apotheke;2022-03-21;2022;;10;584;82.3;823.0;gebracht;Rechnung
Bruggen Apotheke;2022-03-28;2022;;40;520;82.3;3292.0;gebracht;Rechnung
Maxi Markt;2022-04-06;2022;;5;483;82.3;411.5;gebracht;Rechnung
Maxi Markt;2022-04-25;2022;;5;409;82.3;411.5;gebracht;Rechnung
Kiosk Neudorf;2022-04-28;2022;;10;363;82.3;823.0;gebracht;Rechnung
Metzgerei Signer;2022-05-24;2022;;4;967;82.3;329.2;gebracht;Rechnung
Maxi Markt;2022-05-27;2022;;5;962;82.3;411.5;gebracht;Rechnung
Kundencenter sgsw;2022-06-24;2022;;20;797;82.3;1646.0;gebracht;Rechnung
Spar Markt Wolfganghof;2022-07-04;2022;;10;718;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2022-07-05;2022;;10;708;82.3;823.0;gebracht;Rechnung
Kiosk Silberturm;2022-07-08;2022;;10;698;82.3;823.0;gebracht;Rechnung
Falken-Drogerie;2022-07-22;2022;;10;584;82.3;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2022-07-29;2022;;50;507;82.3;4115.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2022-08-05;2022;;30;472;82.3;2469.0;gebracht;Rechnung
Maxi Markt;2022-08-09;2022;;5;467;82.3;411.5;gebracht;Rechnung
Kiosk Neudorf;2022-08-26;2022;;10;443;82.3;823.0;gebracht;Rechnung
Stern-Apotheke;2022-08-31;2022;;5;412;82.3;411.5;gebracht;Rechnung
Maxi Markt;2022-09-15;2022;;5;332;82.3;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2022-09-26;2022;;10;262;82.3;823.0;gebracht;Rechnung
Gallus Apotheke;2022-10-10;2022;;3;964;82.3;246.89999999999998;gebracht;Rechnung
Bäckerei Schwyter Schoren;2022-11-09;2022;;3;806;82.3;246.89999999999998;gebracht;Rechnung
Maxi Markt;2022-11-14;2022;;5;791;82.3;411.5;gebracht;Rechnung
Kiosk Silberturm;2022-11-15;2022;;10;781;82.3;823.0;gebracht;Rechnung
Bäckerei Schwyter Riethüsli;2022-11-16;2022;;5;776;82.3;411.5;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2022-11-21;2022;;30;742;82.3;2469.0;gebracht;Rechnung
Coop Vitality Apotheke Shopping Arena;2022-11-28;2022;;10;702;82.3;823.0;gebracht;Rechnung
Lachen Drogerie;2022-12-09;2022;;20;620;82.3;1646.0;abgeholt;Rechnung
Spar Markt Wolfganghof;2022-12-30;2022;;10;565;82.3;823.0;gebracht;Rechnung
Stern-Apotheke;2023-01-10;2023;;5;505;82.3;411.5;gebracht;Rechnung
Lachen Drogerie;2023-01-18;2023;;20;5445;82.3;1646.0;gebracht;Rechnung
Wirth Gebäudetechnik AG (Endverbraucher);2023-01-26;2023;;10;5420;82.3;823.0;gebracht;Rechnung
VBSG-Verkaufsstelle;2023-01-31;2023;;50;5365;82.3;4115.0;gebracht;Rechnung
Kiosk Neudorf;2023-02-01;2023;;10;5355;82.3;823.0;gebracht;Rechnung
Bäckerei Schwyter Schoren;2023-02-15;2023;;3;5327;82.3;246.89999999999998;gebracht;Rechnung
Coop Vitality Apotheke EKZ Neumarkt;2023-02-28;2023;;30;5257;82.3;2469.0;gebracht;Rechnung
Kiosk Silberturm;2023-03-03;2023;;10;5223;82.3;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2016-01-04;2016;;3;;;246.89999999999998;abgeholt;Rechnung
Apotheke an der Langgasse;2016-01-26;2016;;1;;;82.3;abgeholt;Rechnung
Sanitär Wirth AG (Endverbraucher);2016-01-28;2016;;10;;;823.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2016-02-19;2016;;7;;;576.1;gebracht;Rechnung
Amavita Apotheke Gallusmarkt;2016-02-29;2016;;20;;;1646.0;gebracht;Rechnung
Metzgerei Signer;2016-03-23;2016;;3;;;246.89999999999998;gebracht;Rechnung
Maxi Markt;2016-04-28;2016;;5;;;411.5;gebracht;Rechnung
St.Jakob-Apotheke;2016-05-20;2016;;10;;;823.0;gebracht;Rechnung
Gallus Apotheke;2016-06-08;2016;;2;;;164.6;abgeholt;Rechnung
Kiosk Neudorf;2016-06-16;2016;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2016-06-17;2016;;2;;;164.6;gebracht;Rechnung
Kiosk Migros Bach;2016-06-29;2016;;5;;;411.5;gebracht;Rechnung
Müller, lebe deinen Genuss;2016-06-29;2016;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2016-07-01;2016;;3;;;246.89999999999998;gebracht;Rechnung
Maxi Markt;2016-07-07;2016;;5;;;411.5;gebracht;Rechnung
Bruggen Apotheke;2016-07-07;2016;;40;;;3292.0;gebracht;Rechnung
St.Fiden-Apotheke;2016-08-02;2016;;10;;;823.0;gebracht;Rechnung
Langgass-Drogerie;2016-08-16;2016;;10;;;823.0;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2016-08-24;2016;;20;;;1646.0;gebracht;Rechnung
Kiosk Silberturm;2016-08-24;2016;;5;;;411.5;gebracht;Rechnung
Apotheke an der Langgasse;2016-08-25;2016;;2;;;164.6;abgeholt;Rechnung
Drogerie Lachen;2016-08-29;2016;;20;;;1646.0;abgeholt;Rechnung
St.Jakob-Apotheke;2016-09-07;2016;;10;;;823.0;gebracht;Rechnung
Sanitär Wirth AG (Endverbraucher);2016-09-09;2016;;10;;;823.0;gebracht;Rechnung
Kiosk Migros Bach;2016-09-16;2016;;2;;;164.6;gebracht;Rechnung
Drogerie Lachen;2016-10-03;2016;;20;;;1646.0;abgeholt;Rechnung
Apotheke an der Langgasse;2016-10-05;2016;;2;;;164.6;abgeholt;Rechnung
Müller, lebe deinen Genuss;2016-10-06;2016;;10;;;823.0;gebracht;Rechnung
Stern-Apotheke;2016-10-10;2016;;10;;;823.0;gebracht;Rechnung
Kiosk Silberturm;2016-10-18;2016;;5;;;411.5;gebracht;Rechnung
Kiosk Neudorf;2016-10-20;2016;;10;;;823.0;gebracht;Rechnung
Löwen-Apotheke;2016-10-20;2016;;3;;;246.89999999999998;gebracht;Rechnung
